Repetition rate,exeTime[s],,real time
1254,1.9395,,
1255,2.0535,,
1256,2.0241,,
1257,2.0574,,
1258,2.0003,,
1259,2.0792,,
1260,2.0513,,
1261,2.0172,,
1262,2.0252,,
1263,2.0715,,
1264,1.9925,,
1265,2.0794,,
1266,2.0997,,
1267,1.9418,,
1268,1.9691,,
1269,2.0348,,
1270,1.862,,
1271,2.1588,,
1272,2.1324,,
1273,2.0183,,
1274,2.0862,,
1275,2.0191,,
1276,1.9863,,
1277,2.0557,,
1278,2.0576,,
1279,1.9908,,
1280,1.9791,,
1281,2.028,,
1282,1.9746,,
1283,2.012,,
1284,1.8753,,
1285,1.9351,,
1286,2.0378,,
1287,2.0621,,
1288,2.0501,,
1289,2.0028,,
1290,2.1414,,
1291,2.0212,,
1292,2.0551,,
1293,2.0658,,
1294,2.0735,,
1295,2.0534,,
1296,1.995,,
1297,1.9527,,
1298,1.9824,,
1299,1.8913,,
1300,1.9403,,
1301,2.0408,,
1302,2.0401,,
1303,2.0708,,
1304,2.0181,,
1305,1.9758,,
1306,1.9817,,
1307,2.1193,,
1308,2.0514,,
1309,2.0722,,
1310,2.0295,,
1311,2.0092,,
1312,1.9743,,
1313,1.8893,,
1314,1.9174,,
1315,1.9041,,
1316,2.0957,,
1317,1.9502,,
1318,2.1178,,
1319,2.0019,,
1320,1.9767,,
1321,2.0957,,
1322,2.0982,,
1323,2.0331,,
1324,2.0805,,
1325,2.1659,,
1326,1.9726,,
1327,1.9186,,
1328,1.9683,,
1329,1.8795,,
1330,2.1048,,
1331,2.0631,,
1332,2.1859,,
1333,1.9938,,
1334,2.0672,,
1335,2.1001,,
1336,2.0676,,
1337,2.0038,,
1338,2.0641,,
1339,2.1213,,
1340,2.0542,,
1341,2.0059,,
1342,2.0501,,
1343,1.9782,,
1344,1.9328,,
1345,2.1639,,
1346,2.0509,,
1347,2.1914,,
1348,1.9914,,
1349,2.0473,,
1350,2.0852,,
1351,2.0931,,
1352,2.0116,,
1353,2.2228,,
1354,2.0206,,
1355,1.9557,,
1356,1.9556,,
1357,2.0412,,
1358,2.0314,,
1359,1.9218,,
1360,1.9964,,
1361,2.1161,,
1362,2.0225,,
1363,2.1017,,
1364,2.0413,,
1365,2.0798,,
1366,2.1311,,
1367,2.2589,,
1368,2.134,,
1369,2.023,,
1370,2.051,,
1371,2.0263,,
1372,1.9853,,
1373,1.9963,,
1374,1.9101,,
1375,1.9995,,
1376,1.9869,,
1377,2.0754,,
1378,2.0357,,
1379,2.0413,,
1380,2.0648,,
1381,2.0768,,
1382,2.1076,,
1383,2.1033,,
1384,2.077,,
1385,2.0003,,
1386,1.9332,,
1387,2.0478,,
1388,1.9301,,
1389,1.9135,,
1390,1.8949,,
1391,2.1016,,
1392,1.9787,,
1393,2.0933,,
1394,2.0176,,
1395,2.0847,,
1396,2.08,,
1397,2.1508,,
1398,2.1287,,
1399,2.0423,,
1400,2.042,,
1401,1.9654,,
1402,1.9908,,
1403,2.0027,,
1404,1.9908,,
1405,2.0134,,
1406,2.1584,,
1407,1.9861,,
1408,2.0638,,
1409,2.0191,,
1410,2.1208,,
1411,2.1256,,
1412,2.1041,,
1413,2.1183,,
1414,2.0699,,
1415,2.0018,,
1416,1.9854,,
1417,2.0051,,
1418,1.9639,,
1419,2.0093,,
1420,1.9451,,
1421,1.9882,,
1422,2.0665,,
1423,2.2278,,
1424,2.0845,,
1425,2.005,,
1426,2.031,,
1427,2.0444,,
1428,2.0642,,
1429,1.994,,
1430,2.0384,,
1431,2.0387,,
1432,1.9479,,
1433,1.9524,,
1434,1.9396,,
1435,1.8343,,
1436,2.0614,,
1437,2.0477,,
1438,2.0783,,
1439,2.0058,,
1440,2.0264,,
1441,2.0371,,
1442,2.1423,,
1443,1.98,,
1444,2.0546,,
1445,2.1271,,
1446,2.0509,,
1447,1.9467,,
1448,1.9757,,
1449,1.9537,,
1450,1.9529,,
1451,2.0242,,
1452,2.0511,,
1453,2.0497,,
1454,2.0305,,
1455,2.082,,
1456,2.0984,,
1457,2.0456,,
1458,2.1111,,
1459,2.0508,,
1460,2.0242,,
1461,1.9888,,
1462,1.9796,,
1463,2.0027,,
1464,1.9945,,
1465,1.9765,,
1466,2.0304,,
1467,2.041,,
1468,1.9811,,
1469,2.0798,,
1470,2.0862,,
1471,2.0539,,
1472,2.0528,,
1473,1.9725,,
1474,2.1537,,
1475,1.9921,,
1476,2.0133,,
1477,1.9909,,
1478,1.978,,
1479,1.9879,,
1480,1.9472,,
1481,2.0174,,
1482,1.9734,,
1483,2.1091,,
1484,2.0251,,
1485,2.0042,,
1486,2.0654,,
1487,2.0464,,
1488,2.0798,,
1489,2.1146,,
1490,2.0016,,
1491,2.0645,,
1492,1.9741,,
1493,1.915,,
1494,2.0045,,
1495,2.0595,,
1496,1.9542,,
1497,2.0332,,
1498,1.9473,,
1499,2.0516,,
1500,2.052,,
1501,2.03,,
1502,2.02,,
1503,2.1117,,
