Repetition rate,Coppelia_simTime[s],,
1242,0.25,,
1243,0.29999,,
1244,0.29999,,
1245,0.29999,,
1246,0.29999,,
1247,0.25,,
1248,0.25,,
1249,0.25,,
1250,0.29993,,
1251,0.24994,,
1252,0.24994,,
1253,0.25006,,
1254,0.25,,
1255,0.20001,,
1256,0.25006,,
1257,0.24994,,
1258,0.25006,,
1259,0.29999,,
1260,0.25,,
1261,0.25,,
1262,0.35004,,
1263,0.25,,
1264,0.30005,,
1265,0.30005,,
1266,0.29993,,
1267,0.29999,,
1268,0.29993,,
1269,0.25,,
1270,0.29999,,
1271,0.35004,,
1272,0.25,,
1273,0.25,,
1274,0.25,,
1275,0.30005,,
1276,0.25012,,
1277,0.30005,,
1278,0.30005,,
1279,0.25,,
1280,0.25,,
1281,0.29993,,
1282,0.30005,,
1283,0.30005,,
1284,0.25,,
1285,0.30005,,
1286,0.30005,,
1287,0.25,,
1288,0.30005,,
1289,0.20007,,
1290,0.25012,,
1291,0.30005,,
1292,0.30005,,
1293,0.25012,,
1294,0.20007,,
1295,0.25,,
1296,0.29993,,
1297,0.19995,,
1298,0.29993,,
1299,0.29993,,
1300,0.29993,,
1301,0.25,,
1302,0.25,,
1303,0.30005,,
1304,0.30005,,
1305,0.3501,,
1306,0.2998,,
1307,0.25012,,
1308,0.25,,
1309,0.25,,
1310,0.29993,,
1311,0.19995,,
1312,0.19995,,
1313,0.25,,
1314,0.30005,,
1315,0.29993,,
1316,0.25012,,
1317,0.25,,
1318,0.34998,,
1319,0.25,,
1320,0.30005,,
1321,0.30005,,
1322,0.29993,,
1323,0.29993,,
1324,0.15002,,
1325,0.34998,,
1326,0.25,,
1327,0.25012,,
1328,0.25,,
1329,0.25,,
1330,0.25,,
1331,0.30005,,
1332,0.20007,,
1333,0.29993,,
1334,0.29993,,
1335,0.25,,
1336,0.34998,,
1337,0.30005,,
1338,0.25,,
1339,0.29993,,
1340,0.30005,,
1341,0.30005,,
1342,0.25,,
1343,0.3501,,
1344,0.25012,,
1345,0.25,,
1346,0.34985,,
1347,0.25,,
1348,0.25024,,
1349,0.34985,,
1350,0.2998,,
1351,0.25024,,
1352,0.2002,,
1353,0.2998,,
1354,0.25,,
1355,0.30005,,
1356,0.25,,
1357,0.2998,,
1358,0.24976,,
1359,0.30005,,
1360,0.25,,
1361,0.30005,,
1362,0.2998,,
1363,0.25024,,
1364,0.24976,,
1365,0.3501,,
1366,0.30005,,
1367,0.25024,,
1368,0.30005,,
1369,0.25024,,
1370,0.25024,,
1371,0.25024,,
1372,0.25,,
1373,0.24976,,
1374,0.30005,,
1375,0.25,,
1376,0.30005,,
1377,0.35034,,
1378,0.30005,,
1379,0.25,,
1380,0.25,,
1381,0.30005,,
1382,0.30005,,
1383,0.35034,,
1384,0.25024,,
1385,0.30005,,
1386,0.25,,
1387,0.30005,,
1388,0.25,,
1389,0.30005,,
1390,0.25,,
1391,0.2998,,
1392,0.24976,,
1393,0.24976,,
1394,0.3501,,
1395,0.2998,,
1396,0.25,,
1397,0.25024,,
1398,0.34985,,
1399,0.3501,,
1400,0.30005,,
1401,0.25,,
1402,0.3,,
1403,0.3,,
1404,0.25,,
1405,0.3,,
1406,0.3,,
1407,0.25,,
1408,0.3,,
1409,0.3,,
1410,0.3,,
1411,0.34999,,
1412,0.25,,
1413,0.25,,
1414,0.35001,,
1415,0.25,,
1416,0.25,,
1417,0.25,,
1418,0.25,,
1419,0.25,,
1420,0.25,,
1421,0.25,,
1422,0.29999,,
1423,0.29996,,
1424,0.24997,,
1425,0.25003,,
1426,0.24997,,
1427,0.29999,,
1428,0.30005,,
1429,0.29999,,
1430,0.19998,,
1431,0.30002,,
1432,0.30002,,
1433,0.25,,
1434,0.29996,,
1435,0.29999,,
1436,0.30002,,
1437,0.29999,,
1438,0.29999,,
1439,0.29999,,
1440,0.25,,
1441,0.20001,,
1442,0.29999,,
1443,0.29999,,
1444,0.25,,
1445,0.29999,,
1446,0.24994,,
1447,0.30005,,
1448,0.25,,
1449,0.29999,,
1450,0.25,,
1451,0.25,,
1452,0.25,,
1453,0.24994,,
1454,0.20001,,
1455,0.29999,,
1456,0.25,,
1457,0.29993,,
1458,0.30005,,
1459,0.20001,,
1460,0.25,,
1461,0.30005,,
1462,0.20001,,
1463,0.29999,,
1464,0.24994,,
1465,0.30005,,
1466,0.35004,,
1467,0.25,,
1468,0.20007,,
1469,0.24994,,
1470,0.29999,,
1471,0.35004,,
1472,0.25,,
1473,0.29999,,
1474,0.25,,
1475,0.30005,,
1476,0.30005,,
1477,0.25,,
1478,0.19995,,
1479,0.25,,
1480,0.29993,,
1481,0.25012,,
1482,0.15002,,
1483,0.30005,,
1484,0.29993,,
1485,0.30005,,
1486,0.29993,,
1487,0.25,,
1488,0.30005,,
1489,0.30005,,
1490,0.34998,,
1491,0.34998,,
1492,0.25,,
1493,0.25,,
1494,0.24988,,
1495,0.25,,
1496,0.29993,,
1497,0.30005,,
1498,0.25,,
1499,0.30005,,
1500,0.30005,,
1501,0.25,,
1502,0.29993,,
1503,0.25,,
1504,0.25,,
1505,0.24988,,
1506,0.30005,,
1507,0.29993,,
1508,0.30005,,
1509,0.29993,,
1510,0.25,,
1511,0.2998,,
1512,0.30005,,
1513,0.29993,,
1514,0.34998,,
1515,0.29993,,
1516,0.29993,,
1517,0.25,,
1518,0.30005,,
1519,0.25,,
1520,0.30005,,
1521,0.2998,,
1522,0.25,,
1523,0.30005,,
1524,0.25012,,
1525,0.30005,,
1526,0.25,,
1527,0.29993,,
1528,0.3501,,
1529,0.19995,,
1530,0.25,,
1531,0.30005,,
1532,0.25,,
